,Domain,area,keywords,Abstract
0,CS , Symbolic computation  , (2+1)-dimensional non-linear optical waves; erbium-doped optical fibre; symbolic computation; soliton solution; soliton interaction        ,"(2 + 1)-dimensional non-linear optical waves through the coherently excited resonant medium doped with the erbium atoms can be described by a (2 + 1)-dimensional non-linear Schrodinger equation coupled with the self-induced transparency equations. For such a system, via the Hirota method and symbolic computation, linear forms, one-, two-and N-soliton solutions are obtained. Asymptotic analysis is conducted and suggests that the interaction between the two solitons is elastic. Bright solitons are obtained for the fields E and P, while the dark ones for the field N, with E as the electric field, P as the polarization in the resonant medium induced by the electric field, and N as the population inversion profile of the dopant atoms. Head-on interaction between the bidirectional two solitons and overtaking interaction between the unidirectional two solitons are seen. Influence of the averaged natural frequency. on the solitons are studied: (1). can affect the velocities of all the solitons; (2) Amplitudes of the solitons for the fields P and N increase with. decreasing, and decrease with. increasing; (3) With. decreasing, for the fields P and N, one-peak one soliton turns into the two-peak one, as well as interaction type changes from the interaction between two one-peak ones to that between a one-peak one and a two-peak one; (4) For the field E, influence of. on the solitons cannot be found. The results of this paper might be of potential applications in the design of optical communication systems which can produce the bright and dark solitons simultaneously."
106,CS , Symbolic computation  , (3+1)-dimensional coupled nonlinear Schrodinger system; Bright soliton solutions; Symbolic computation; Hirota method; Elastic and inelastic collisions        ,"A (3 + 1)-dimensional coupled nonlinear Schrodinger system is investigated, which describes the pulses in an optical fiber and transverse effects in a nonlinear optical system. With the aid of symbolic computation and Hirota method, bright one- and two-soliton solutions of the system are derived. On the basis of the soliton solutions, we will graphically discuss the head-on collisions which include the elastic and inelastic collisions between the two bright solitons. After an elastic collision, two colliding solitons keep their shapes, amplitudes and velocities unchanged except for some phase shifts, while inelastically, the intensity of one soliton is enhanced, while the other gets suppressed. (C) 2015 Elsevier Ltd. All rights reserved."
107,CS , Symbolic computation  , (3+1)-Dimensional B-type Kadomtsev-Petviashvili equation; Hirota method; Bell polynomials; Soliton solutions; Backlund transformations        ,"A (3+1)-dimensional B-type Kadomtsev-Petviashvili equation, which can be applied to describe the propagation of non-linear waves in fluid dynamics, is under investigation in this paper. Based on the binary Bell polynomials, Hirota method, and symbolic computation, the bilinear form is obtained. Backlund transformations are derived in the Bell-polynomial and bilinear forms. Besides, one-and two-soliton solutions are presented. The only coefficient in the equation can affect the soliton structure. Soliton shapes keep unchanged after the elastic interaction and they maintain their original directions and amplitudes except for some phase shifts."
393,CS , Symbolic computation  , Dynamical systems; Nonlinear oscillators; Conservative systems; Truly nonlinear oscillators; Fourier series expansion; Approximate solutions; Symbolic computation        ,"A family of conservative, truly nonlinear, oscillators with integer or non-integer order nonlinearity is considered. These oscillators have only one odd power-form elastic-term and exact expressions for their period and solution were found in terms of Gamma functions and a cosine-Ateb function, respectively. Only for a few values of the order of nonlinearity, is it possible to obtain the periodic solution in terms of more common functions. However, for this family of conservative truly nonlinear oscillators we show in this paper that it is possible to obtain the Fourier series expansion of the exact solution, even though this exact solution is unknown. The coefficients of the Fourier series expansion of the exact solution are obtained as an integral expression in which a regularized incomplete Beta function appears. These coefficients are a function of the order of nonlinearity only and are computed numerically. One application of this technique is to compare the amplitudes for the different harmonics of the solution obtained using approximate methods with the exact ones computed numerically as shown in this paper. As an example, the approximate amplitudes obtained via a modified Ritz method are compared with the exact ones computed numerically. (C) 2014 Elsevier B.V. All rights reserved."
445,CS , Symbolic computation  , nonlinear coupled system; function transformation; Backlund transformation; complexion two-soliton solution        ,A function transformation is presented to change a kind of nonlinear coupled system into a set of two elliptic equations of the first kind. Then new infinite sequence complexion two-soliton solutions to a kind of nonlinear coupled system are constructed by new solutions and Backlund transformation of elliptic equation of the first kind.
218,CS , Algorithm design  , Local Search; Algorithm; Complexity; Performance Ratio; Satisfiability        ,"A clause is not-all-equal satisfied if it has at least one literal assigned by T and one literal assigned by F. Max NAE-SAT is given by a set U of boolean variables and a set C of clauses, and asks to find an assignment of U, such that the not-all-equal satisfied clauses of C are maximized. Max NAE-SAT turns into Max NAE-k-SAT if each clause contains just k literals. Max NAE-k-SAT for k = 2, 3 and 4 can be approximated to 1.139 (1/0.878), 1.10047 (1/0.9087) and 8/7 respectively. When k >= 5, little has been done in terms of algorithm design to approximate Max NAE-k-SAT. In this paper, we propose a local search algorithm which can approximate Max NAE-k-SAT to 2(k-1)/2(k-1) - 1 for k >= 2. Then we show that Max NAE-k-SAT can not be approximated within 2(k-1)/2(k-1) - 1 in polynomial time, if P not equal NP. Moreover, we extend the algorithm for Max NAE-k-SAT to approximate Max NAE-SAT where each clause contains at least k literals."
284,CS , Algorithm design  , Microwave radiometry; Sea ice; Melting snow        ,"A conceptually new algorithm of sea ice concentration retrieval in polar regions from satellite microwave radiometry data is discussed. The algorithm design favorably contrasts with that of known modern algorithms. Its design is based on a physical emission model of the ""sea surface - sea ice - snow cover - atmosphere"" system. No tie-points are used in the algorithm. All the calculation expressions are derived from theoretical modeling. The design of the algorithm minimizes the impact of atmospheric variability on sea ice concentration retrieval. Beside estimating sea ice concentration, the algorithm makes it possible to indicate ice areas with melting snow and melt ponds. The algorithm is simple to use, no complicated or time consuming calculations are involved. (C) 2015 COSPAR. Published by Elsevier Ltd. All rights reserved."
292,CS , Algorithm design  , CVSS; security; risk management; configuration; Continuous Monitoring; vulnerability; damage potential; risk scoring        ,"A Continuous Monitoring System (CMS) model is presented, having new improved capabilities. The system is based on the actual real-time configuration of the system. Existing risk scoring models assume damage potential is estimated by systems' owner, thus rejecting the information relying in the technological configuration. The assumption underlying this research is based on users' ability to estimate business impacts relating to systems' external interfaces which they use regularly in their business activities, but are unable to assess business impacts relating to internal technological components. According to the proposed model systems' damage potential is calculated using technical information on systems' components using a directed graph. The graph is incorporated into the Common Vulnerability Scoring Systems' (CVSS) algorithm to produce risk scoring measures. Framework presentation includes system design, damage potential scoring algorithm design and an illustration of scoring computations."
440,CS , Algorithm design  , Neural Stimulation; Neuropsychiatric Disorders; Closed-loop Control; Decode; Signal Processing        ,"A fully autonomous intracranial device is built to continually record neural activities in different parts of the brain, process these sampled signals, decode features that correlate to behaviors and neuropsychiatric states, and use these features to deliver brain stimulation in a closed-loop fashion. In this paper, we describe the sampling and stimulation aspects of such a device. We first describe the signal processing algorithms of two unsupervised spike sorting methods. Next, we describe the LFP time-frequency analysis and feature derivation from the two spike sorting methods. Spike sorting includes a novel approach to constructing a dictionary learning algorithm in a Compressed Sensing (CS) framework. We present a joint prediction scheme to determine the class of neural spikes in the dictionary learning framework; and, the second approach is a modified OSort algorithm which is implemented in a distributed system optimized for power efficiency. Furthermore, sorted spikes and time-frequency analysis of LFP signals can be used to generate derived features (including cross-frequency coupling, spike-field coupling). We then show how these derived features can be used in the design and development of novel decode and closed-loop control algorithms that are optimized to apply deep brain stimulation based on a patient's neuropsychiatric state. For the control algorithm, we define the state vector as representative of a patient's impulsivity, avoidance, inhibition, etc. Controller parameters are optimized to apply stimulation based on the state vector's current state as well as its historical values. The overall algorithm and software design for our implantable neural recording and stimulation system uses an innovative, adaptable, and reprogrammable architecture that enables advancement of the state-of-the-art in closed-loop neural control while also meeting the challenges of system power constraints and concurrent development with ongoing scientific research designed to define brain network connectivity and neural network dynamics that vary at the individual patient level and vary over time."
785,CS , Algorithm design  , genetic algorithms; multistage graph problem; algorithm design        ,"A multistage graph is center problem of computer science, many coordination and consistency problems can be convert into multistage graph problem. We obtained the fitness function by coding the vertex of multistage graph, and designed the genetic algorithm for solving multistage graph problem. Experiment results show that this algorithm is very effective and feasible."
241,CS , Computer programming  , rogram visualization; worked examples; crowd-sourcing; tutorial creation; CS education        ,"A common way to learn is by studying written step-by-step tutorials such as worked examples. However, tutorials for computer programming can be tedious to create since a static text-based format cannot convey what happens as code executes. We created a system called Codepourri that enables people to easily create visual coding tutorials by annotating steps in an automatically-generated program visualization. Using Codepourri, we developed a novel crowdsourcing workflow where learners who are visiting an educational website (www.pythontutor.com) collectively create a tutorial by annotating execution steps in a piece of code and then voting on the best annotations. Since there are far more learners than experts, using learners as a crowd is a potentially more scalable way of creating tutorials. Our experiments with 4 expert judges and 101 learners adding 145 raw annotations to two pieces of textbook Python code show the learner crowd's annotations to be accurate, informative, and containing some insights that even experts missed."
855,CS , Computer programming  , MMORPG server optimization; networked game; MMORPG delay; educational game; computer programming        ,"A new generation of computer games has taken over during the last few years, called Massive Multiplayer Online Role Playing Games (MMORPG). In parallel, the usage of games in education has increased, exploiting the fact that young people are familiarized with them and would be more motivated to learn while entertained. However, MMORPG require significant amounts of resources, such as bandwidth, RAM and CPU capacity to support learning. In this paper, we propose a new methodology to achieve monitoring and optimization of the load balancing, so that the essential resources for the proper execution of an educational MMORPG for computer programming can be foreseen and bestowed without overloading the system. Moreover, we present an educational MMORPG called CMX, which aims to teach computer programming through interactive activities and role-playing. We finally apply the proposed model to CMX by conducting an experiment and conclude that the server's performance is indeed increased."
1148,CS , Computer programming  , social poster; unexpected graphic pattern; radiation contamination in Fukushima        ,"A poster must be sufficiently informative to convey a suitable message which reflects the genuine characteristics of the topic. A social poster design deals with social issues, which are not instantaneous events where existing in a dynamic society. Therefore, the social poster design has to represent the continuous consequences due to the social incident. On 11 March in 2011, a magnitude 9.0 earthquake hit off the east coast of Japan, caused 15,821 deaths, 3,962 missing, and 5,940 injuries in 20 Japanese prefectures as reported by The National Police Agency of Japan (Dunbar et al., 2011). Though the earthquake, aftershocks and tsunamis ended, it is an unfinished tragedy, due to the continuous exposure of the radioactive contaminated water by the Fukushima Daiichi plant. The highly contaminated water has accumulated on roofs and it keeps flowed into the Pacific Ocean when it rains (McCurry, 2015). This study aims to present the ongoing impact of radioactive materials to our society on a social poster through an animated graphic. The randomly created background patterns within the poster, symbolize the unfinished radioactive leaking and its circulation in our environment. Hence, this poster is a dynamically changing rather than a static graphic poster, much like the continuous changes occurring within the environment, due to the Fukushima event. In the middle, the red solid circle not only reflects the Japanese flag but also symbolizes the contaminated Earth. For the background patterns, I generated the random motion of oblique lines by computer programming using Processing, which is an open source programming language. The randomly generated graphic by Processing, referred to as animated graphic, exhibits the unexpected radioactive exposures due to the Fukushima Daiichi nuclear disaster. The red circle represented Japan and the Earth suffered by the ongoing contamination that it was depicted by transparent red that the symbol and the patterns are overlapped and coexist. It should be noted that the printed version of the poster is captured from the digital work, which can be found at https://dl. dropboxusercontent.com/s/ulcosh5 dpm1xw85/index. html? dl= 0 The animated graphic shown in the dynamic poster, informs an audience of the ongoing social issue that the radioactivity which has been leaking into the ocean since the Fukushima Daiichi nuclear disaster in 2011. Unlike a traditional, static print poster, it raises the audiences' awareness, empathy and understanding of the tragedy using dynamic data, affecting a different reaction."
1194,CS , Computer programming  , Home Management System; mobile app; Arduino; AppInventor        ,"A prototype of home management system (HMS) controlled by mobile device was developed by project teams at Computing Education Academy (CEA) at Fairfield University by integrating Arduino with AppInventor. CEA was established at Fairfield University in 2013 to expose high school students to key computing concepts and basic computer programming through hands-on activities and to motivate students to enter post-secondary education and career opportunities in computing. CEA class modules include Scratch, AppInventor, Circuit Design, Arduino, and final team project of developing home management system under the guidance of graduate assistants and faculty of Fairfield University. Home management system consists of several modules to remotely control the lamp, central light, air conditioner, door lock, and other electronic devices in the room using mobile app. Each team created one module which controls and displays the current status of each component through user interface from home screen of the system on mobile device. Various sensors, receivers, motors, relays are used and integrated with the Arduino GSM Shield. Details of implementation and future direction are discussed."
1254,CS , Computer programming  , fractional relaxation-oscillation equation; fractional differential equation; cubic B-spline function; wavelet collocation method        ,"A relaxation oscillator is a kind of oscillator based on a behavior of physical system's return to equilibrium after being disturbed. The relaxation-oscillation equation is the primary equation of relaxation and oscillation processes. The relaxation oscillation equation is a fractional differential equation with initial conditions. In this paper, the approximate solutions of relaxation-oscillation equation are obtained by developing the wavelet collocation method to fractional differential equations using cubic B-spline wavelet. Analytical expressions of fractional derivatives in caputo sense for cubic B-spline functions are presented. The main advantage of the proposed method is that it transforms such problems into a system of algebraic equations which is suitable for computer programming. The reliability and efficiency of the proposed method are demonstrated in the numerical examples."
57,CS , Data structures  , comparative methods; macroevolution; Open Tree of Life; phylogenetics        ,"1. While phylogenies have been getting easier to build, it has been difficult to reuse, combine and synthesize the information they provide because published trees are often only available as image files, and taxonomic information is not standardized across studies. 2. The Open Tree of Life (OTL) project addresses these issues by providing a digital tree that encompasses all organisms, built by combining taxonomic information and published phylogenies. The project also provides tools and services to query and download parts of this synthetic tree, as well as the source data used to build it. Here, we present rot1, an R package to search and download data fromthe Open Tree of Life directly in R. 3. rot1 uses common data structures allowing researchers to take advantage of the rich set of tools and methods that are available in R to manipulate, analyse and visualize phylogenies. Here, and in the vignettes accompanying the package, we demonstrate how rot1 can be used with other R packages to analyse biodiversity data. 4. As phylogenies are being used in a growing number of applications, rot1 facilitates access to phylogenetic data and allows their integration with statistical methods and data sources available inR."
167,CS , Data structures  , spatial data structures; point location queries; nearest point queries; selectivity estimation        ,"A basic question in computational geometry is how to find the relationship between a set of points and a line in a real plane. In this paper, we present multidimensional data structures for N points that allow answering the following queries for any given input line: (1) estimate in O (log N) time the number of points below the line; (2) return in O (log N + k) time the k <= N points that are below the line; and (3) return in O (log N) time the point that is closest to the line. We illustrate the utility of this computational question with GIS applications in air defense and traffic control."
257,CS , Data structures  , Depth-first search; Graph algorithms; Graph traversal; Partially complemented digraphs        ,"A complementation operation on a vertex of a digraph changes all outgoing arcs into non-arcs, and outgoing non-arcs into arcs. Given a digraph G, a partially complemented digraph (G) over tilde is a digraph obtained from G by performing a sequence of vertex complement operations on G. Dahlhaus et al. showed that, given an adjacency-list representation of (G) over tilde, depth-first search (DFS) on G can be performed in O(n + (m) over tilde) time, where (m) over tilde is the number of vertices and ill is the number of edges in (G) over tilde. This can be used for finding a depth-first spanning forest and the strongly connected components of the complement of G in time that is linear in the size of G, and Dahlhaus et al. give applications to finding the modular decomposition of an undirected graph that require that some adjacency lists be complemented and others not. To achieve this bound, their algorithm makes use of a somewhat complicated stack-like data structure to simulate the recursion stack, instead of implementing it directly as a recursive algorithm. We give a recursive O(n + (m) over tilde) algorithm that requires no such data-structures. (C) 2016 Elsevier B.V. All rights reserved."
303,CS , Data structures  , Correspondence; Mappings; Hamming distance; Generalised median; Linear assignment problem        ,"A correspondence is a set of mappings that establishes a relation between the elements of two data structures (i.e. sets of points, strings, trees or graphs). If we consider several correspondences between the same two structures, one option to define a representative of them is through the generalised median correspondence. In general, the computation of the generalised median is an NP-complete task. In this paper, we present two methods to calculate the generalised median correspondence of multiple correspondences. The first one obtains the optimal solution in cubic time, but it is restricted to the Hamming distance. The second one obtains a sub-optimal solution through an iterative approach, but does not have any restrictions with respect to the used distance. We compare both proposals in terms of the distance to the true generalised median and runtime."
498,CS , Data structures  , Influence; Outliers; Deletion diagnostics; GLMM; Gradient statistic; 62J20        ,"A gradient-statistic-based diagnostic measure is developed in the context of the generalized linear mixed models. Its performance is assessed by some real examples and simulation studies, in terms of ability in detecting influential data structures and of concordance with the most used influence measures."
319,CS , Bioinformatics  , DNA barcoding; DNA metabarcoding; molecular species identification; multinomial regression; statistical model; taxonomic assignment; taxonomic placement        ,"A crucial step in the use of DNA markers for biodiversity surveys is the assignment of Linnaean taxonomies (species, genus, etc.) to sequence reads. This allows the use of all the information known based on the taxonomic names. Taxonomic placement of DNA barcoding sequences is inherently probabilistic because DNA sequences contain errors, because there is natural variation among sequences within a species, and because reference data bases are incomplete and can have false annotations. However, most existing bioinformatics methods for taxonomic placement either exclude uncertainty, or quantify it using metrics other than probability. In this paper we evaluate the performance of the recently proposed probabilistic taxonomic placement method PROTAX by applying it to both annotated reference sequence data as well as to unknown environmental data. Our four case studies include contrasting taxonomic groups (fungi, bacteria, mammals and insects), variation in the length and quality of the barcoding sequences (from individually Sanger-sequenced sequences to short Illumina reads), variation in the structures and sizes of the taxonomies (800-130000 species) and variation in the completeness of the reference data bases (representing 15-100% of known species). Our results demonstrate that PROTAX yields essentially unbiased probabilities of taxonomic placement, which means its quantification of species identification uncertainty is reliable. As expected, the accuracy of taxonomic placement increases with increasing coverage of taxonomic and reference sequence data bases, and with increasing ratio of genetic variation among taxonomic levels over within taxonomic levels. We conclude that reliable species-level identification from environmental samples is still challenging and that neglecting identification uncertainty can lead to spurious inference. A key aim for future research is the completion of taxonomic and reference sequence data bases and making these two types of data compatible."
482,CS , Bioinformatics  , Bioinformatics; DNA; genetics; genomics        ,"A genome sequence assembly provides the foundation for studies of genotypic and phenotypic variation, genome structure, and evolution of the target organism. In the past four decades, there has been a surge of new sequencing technologies, and with these developments, computational scientists have developed new algorithms to improve genome assembly. Here we discuss the relationship between sequencing technology improvements and assembly algorithm development and how these are applied to extend and improve human and nonhuman genome assemblies."
1171,CS , Bioinformatics  , Mycobacterium tuberculosis; proteasome; protein chaperone; structural biology        ,"A previous bioinformatics analysis identified the Mycobacterium tuberculosis proteins Rv2125 and Rv2714 as orthologs of the eukaryotic proteasome assembly chaperone 2 (PAC2). We set out to investigate whether Rv2125 or Rv2714 can function in proteasome assembly. We solved the crystal structure of Rv2125 at a resolution of 3.0 angstrom, which showed an overall fold similar to that of the PAC2 family proteins that include the archaeal PbaB and the yeast Pba1. However, Rv2125 and Rv2714 formed trimers, whereas PbaB forms tetramers and Pba1 dimerizes with Pba2. We also found that purified Rv2125 and Rv2714 could not bind to M. tuberculosis 20S core particles. Finally, proteomic analysis showed that the levels of known proteasome components and substrate proteins were not affected by disruption of Rv2125 in M. tuberculosis. Our work suggests that Rv2125 does not participate in bacterial proteasome assembly or function. IMPORTANCE Although many bacteria do not encode proteasomes, M. tuberculosis not only uses proteasomes but also has evolved a posttranslational modification system called pupylation to deliver proteins to the proteasome. Proteasomes are essential for M. tuberculosis to cause lethal infections in animals; thus, determining how proteasomes are assembled may help identify new ways to combat tuberculosis. We solved the structure of a predicted proteasome assembly factor, Rv2125, and isolated a genetic Rv2125 mutant of M. tuberculosis. Our structural, biochemical, and genetic studies indicate that Rv2125 and Rv2714 do not function as proteasome assembly chaperones and are unlikely to have roles in proteasome biology in mycobacteria."
1384,CS , Bioinformatics  , inquiry-based learning; molecular biology laboratory; transcriptional regulation; upper-division undergraduate        ,"A single semester molecular biology laboratory has been developed in which students design and execute a project examining transcriptional regulation in Saccharomyces cerevisiae. Three weeks of planning are allocated to developing a hypothesis through literature searches and use of bioinformatics. Common experimental plans address a cell process and how three genes that encode for proteins involved in that process are transcriptionally regulated in response to changing environmental conditions. Planning includes designing oligonucleotides to amplify the putative promoters of the three genes of interest. After the PCR, each product is cloned proximal to b-galactosidase in a yeast reporter plasmid. Techniques used include agarose electrophoresis, extraction of DNA from agarose, plasmid purification from bacteria, restriction digestion, ligation, and bacterial transformation. This promoter/ reporter plasmid is then transformed into yeast. Transformed yeast are cultured in conditions prescribed in the experimental design, lysed and beta-galactosidase activity is measured. The course provides an independent research experience in a group setting. Notebooks are maintained on-line with regular feedback. Projects culminate with the presentation of a poster worth 60% of the grade. Over the last three years, about 65% of students met expectations for experimental design, data acquisition, and analysis. (C) 2016 by The International Union of Biochemistry and Molecular Biology, 45(2): 145-151, 2017."
1644,CS , Bioinformatics  , microRNA-15a-5p; Lung Cancer; Proliferation; NF-kappa B1        ,"Aberrant expression of miR-15a-5p has been frequently reported in some cancers excluding lung cancer. The role and its molecular mechanism of miR-15a-5p in lung cancer have not been reported. In this study, we explored the effects of miR-15a-5p overexpression on apoptosis and invasion in lung cancer cells. The mRNA level of miR-15a-5p in non-small cell lung cancer (NSCLC) lines was determined by real-time PCR. The miR-15a-5p mimic was transiently transfected into lung cancer cells using Lipofectamine (TM) 2000 reagent. Subsequently, the Brdu-ELISA results showed that introduction of miR-15a-5p inhibited cell proliferation. In addition, miR-15a-5p overexpression could also inhibit EMT of A549 and H460 cells. qRT-PCR were used to determined the expressions of matrix metalloproteinase-2 and -9 (MMP-2 and -9) in lung cancer cells. Next, we found that NF-kappa B1 expression was evidently reduced by up-regulation of miR-15a-5p. Bioinformatics analysis predicted that the NF-kappa B1 was a potential target gene of miR-15a-5p. Luciferase reporter assay further confirmed that miR-15a-5p could directly target the 3' UTR of NF-kappa B1. In conclusion, miR15a-5p suppresses proliferation and metastasis in lung cancer cells by down-regulation of NF-kappa B1 and overexpression of miR-15a-5p might be a potential therapeutic strategy for the treatment of lung cancer in the future."
111,ECE , Electricity  , Hydrogen production; Metal hydride; Bi-polar plate; Particle electrode; kW-class stack        ,"A 1 kW-class electrochemical reactor for hydrogen production was developed using bipolar plates. To fabricate thick, large-area electrodes, a particle electrode fabrication method was also introduced. Scanning electron microscopy with energy dispersive X-ray spectroscopy and galvanostatic performance measurements were performed to evaluate the particle electrodes. The results show that the particle electrodes exhibit an excellent charge performance despite the electrode material layer being relatively thick and highly porous. The electrochemical reactor contained 20 single cells stacked together with 30 A h of nickel hydroxide and 15 A h of metal hydride as the positive and negative electrodes, respectively. The electrochemical tests showed that the stack exhibited a high hydrogen production efficiency with a maximum current efficiency of 95.3% for hydrogen production and a hydrogen evolution amount per unit input electrical energy of 259.1 mL/W h at 0.2 C. At high current densities (2.0 C), a rapid temperature increase was also observed during the charging process, which led to a reduction of the hydrogen production efficiency. Therefore, further design modifications are needed to control heat generation during operation of the device. (C) 2016 Published by Elsevier Ltd."
175,ECE , Electricity  , Microbial fuel cell; FePO4 nanoparticles; Levofloxacin sensor; HOMO-LUMO        ,"A bio-electrochemical strategy was developed for constructing a simple and sensitive levofloxacin (LEV) sensor based on a single chamber microbial fuel cell (SC-MFC) using FePO4 nanoparticles (NPs) as the cathode catalyst instead of traditional Pt/C. In this assembled sensor device, FePO4 NPs dramatically promoted the electrooxidation of oxygen on the cathode, which helps to accelerate the voltage output from SC-MFC and can provide a powerful guarantee for LEV detection. Scanning electron microscopy (SEM), X-ray diffraction (XRD), Fourier transform infrared (FTIR) and X-ray photoelectron spectroscopy (XPS) were used to fully characterize the FePO4 NPs. Under the optimized COD condition (3 mM), the LEV with a concentration range of 0.1-1000 pg/L could be detected successfully, and exhibited the excellent linear interval in the concentration range of 0.1-100 pg/L. During this range of concentrations of LEV, a temporary effect on the anode of exoelectrogenic bacterial in less than 10 min could occur, and then came back to the normal. It exhibited a long-term stability, maintaining the stable electricity production for 14 months of continuous running. Besides, the detection mechanism was investigated by quantum chemical calculation using density functional theory (DFT)."
250,ECE , Electricity  , Gas; Electricity; Demand; Manufacturing sector; Homogeneous and heterogeneous; estimators        ,"A comparative analysis of electricity and gas demand in the industrial sector over a long period of time appears to be absent in the literature. In fact, unlike electricity demand, natural gas demand in the industrial sector has not been well researched. Our paper aims to cover this gap. It analyses electricity and gas consumption patterns by the Spanish manufacturing sector, between 1995 and 2010. A novel and innovative quantitative approach based on, both, homogenous and heterogeneous estimators was used for this purpose. The results of the no-spurious estimations (the Augmented Mean Group Estimator) show that the price elasticity of gas demand is significantly negative and within the -0.44 to -0.48 range. In contrast, the price elasticity of electricity demand is not statistically significant. The income elasticities show the opposite pattern: those of natural gas are not statistically significant, whereas the income elasticities for electricity are statistically significant and within the 0.22 to 0.29 range. Compared to previous findings, our preferred estimation shows some variation regarding price elasticities of natural gas demand. (C) 2017 Elsevier Ltd. All rights reserved."
259,ECE , Electricity  , Genetic algorithm; Thermionics; Energy conversion; Optimisation; Plasmas; Concentrating solar thermal        ,"A complete model of a thermionic generator has been developed in order to optimise the technology for application in the solar thermal generation of electricity. Steady state current densities predicted by the model have been shown to agree with published experimental thermionic data. Two separate genetic algorithm optimisations have been carried out for both power density and efficiency, in which electrode temperatures and work functions, external circuit resistance and electrode separation were varied. The result of these optimisations were two configurations separately exhibiting a maximum power density of 1.66 W/cm(2), and a Maximum efficiency of 7.69% for parameter ranges applicable to concentrating solar thermal power. Examination of the optimum simulation parameters indicated that future developments in lowering collector work functions, increasing emitter service temperature and decreasing attainable electrode separations will all positively impact device performance. (C) 2017 Elsevier Ltd. All rights reserved."
636,ECE , Electricity  , Cluster analysis; k-means; Smart meter measurements; Load estimation        ,"A load estimation algorithm based on k-means cluster analysis was developed. The algorithm applies cluster centres - of previously clustered load profiles - and distance functions to estimate missing and future measurements. Canberra, Manhattan, Euclidean, and Pearson correlation distances were investigated. Several case studies were implemented using daily and segmented load profiles of aggregated smart meters. Segmented profiles cover a time window that is less than or equal to 24 h. Simulation results show that Canberra distance outperforms the other distance functions. Results also show that the segmented cluster centres produce more accurate load estimates than daily cluster centres. Higher accuracy estimates were obtained with cluster centres in the range of 16-24 h. The developed load 'estimation algorithm can be integrated with state estimation or other network operational tools to enable better monitoring and control of distribution networks. (C) 2016 The Authors. Published by Elsevier Ltd."
233,ECE , Lorentz force law  , special relativity; time dilation; tests of time dilation; muon g - 2 experiments; alternative theories of relativity; experimental tests of relativity; Lorentz force law        ,A comment on Field's critique of the present author's paper ''Einstein's Relativistic Time-Dilation: A Critical Analysis and a Suggested Experiment'' is given. The comment reasserts that the muon g - 2 experiments do not give convincing direct evidence for relativistic time dilation with high precision as claimed. The comment emphasizes again that convincing tests of predictions of special relativity must not presume the validity of special relativity.
850,ECE , Lorentz force law  , ELECTROMAGNETIC THEORY; TRANSVERSAL AND LONGITUDINAL AVERAGES; POLARIZATION; MAGNETIZATION; POYNTING VECTOR; MAXWELL STRESS; ELECTROMAGNETIC BODY FORCE; LORENTZ TRANSFORMATION        ,"A new framework of electromagnetic theory is presented on the basis of conservation principles of energy and momentum. First, Maxwell's equations and Lorentz force law in vacuum are derived as theorems from the conservation principles. Next, new kinds of averaging procedure, transversal and longitudinal, are introduced to deal with the macroscopic media. Electromagnetic field (E, H) and flux density (D, B) are defined as the longitudinal and transversal averages of the corresponding microscopic field. The polarization P and magnetization M defined as P = D-epsilon(0) E, M = B-mu(0) H are given explicit expressions in terms of microscopic electromagnetic structure of the matter. Lorentz transformation of space-time and electromagnetic field can be derived entirely within the framework of electromagnetic theory."
987,ECE , Lorentz force law  , Linear machine; Force output; Electromagnetic actuator        ,"A novel dual Halbach array is proposed in this paper to increase the output performance of tubular linear machines. The magnetic field distribution in three-dimensional (3D) space is formulated with Bessel functions analytically. Following that, the modeling of force output for linear machines with three-phase windings is carried out based on Lorentz force law. The formula component of force ripple is separated from the analytical expression of total force. It is found that for multi-phase tubular linear machines, the force output and force ripple are not only closely related to the instantaneous position of the mover, but also the starting position. Therefore, the force output of the linear machine is formulated for three typical starting positions as a function of mover positions. The derived models are simulated with respect to the mover's motion. They are also validated with numerical results from finite element calculation. The study shows that an appropriate starting position of the mover helps to improve the output performance of the tubular linear machines. The proposed analytical force model can also be employed to analyze the influence of the structure parameters on the force output of linear machines with similar structures."
